words,sentiment_coeff
just,0.0
like,0.0
any,0.0
other,0.0
day,0.0
in,0.0
the,0.0
and,0.0
getting,0.0
their,0.0
once,0.0
more,0.0
manager,0.0
was,0.0
at,0.0
way,0.0
too,0.0
again,0.0
!,0.0
how,0.0
i,0.0
get,0.0
my,0.0
work,0.0
done,0.0
with,0.0
you,0.0
me,0.0
down,0.0
every_day,0.0
?,0.0
were,0.0
they,0.0
but,0.0
right,0.0
by,0.0
as,0.0
he,0.0
got,0.0
he_was,0.0
not,0.0
a,0.0
guy,0.0
his,0.0
him,0.0
much,0.0
someone,0.0
people,0.0
hit,0.0
started,0.0
that_s,0.0
it,0.0
i_m,0.0
of,0.0
let,0.0
know,0.0
about,0.0
that,0.0
up,0.0
to,0.0
nobody,0.0
for,0.0
all,0.0
was_going,0.0
if,0.0
really,0.0
ugly,0.0
so,0.0
called,0.0
friends,0.0
middle_school,0.0
used_to,0.0
call_me,0.0
girl,0.0
looked,0.0
her,0.0
have_been,0.0
names,0.0
are,0.0
be,0.0
friend,0.0
t,0.0
she,0.0
has,0.0
what,0.0
school,0.0
kids,0.0
would,0.0
one_time,0.0
one_of,0.0
them,0.0
on_the,0.0
after,0.0
first,0.0
i_didn,0.0
bad,0.0
had,0.0
now_i,0.0
don_t,0.0
new,0.0
environment,0.0
migraines,0.0
three,0.0
years,0.0
because_of,0.0
i_was,0.0
two,0.0
week,0.0
which,0.0
no,0.0
can,0.0
on,0.0
one,0.0
have_had,0.0
since,0.0
when_i,0.0
when,0.0
around,0.0
from,0.0
have,0.0
i_ended,0.0
enough,0.0
could,0.0
horrible,0.0
time,0.0
this,0.0
is,0.0
else,0.0
only,0.0
job,0.0
i_remember,0.0
being,0.0
my_phone,0.0
family,0.0
i_ve,0.0
been,0.0
also,0.0
some_of,0.0
female,0.0
over,0.0
an,0.0
come,0.0
i_went,0.0
into_the,0.0
every,0.0
make,0.0
they_would,0.0
comments,0.0
we,0.0
our,0.0
wasn_t,0.0
home,0.0
always,0.0
who,0.0
said,0.0
or,0.0
some,0.0
noticed,0.0
where,0.0
did,0.0
weird,0.0
close,0.0
asked,0.0
because,0.0
t_have,0.0
told,0.0
out,0.0
beat,0.0
your,0.0
go,0.0
thing,0.0
s,0.0
never,0.0
everyone,0.0
fat,0.0
even,0.0
high_school,0.0
girls,0.0
name,0.0
pretty,0.0
bullying,0.0
bullied,0.0
about_it,0.0
my_best,0.0
mean_girls,0.0
my_friends,0.0
still,0.0
year_in,0.0
knew,0.0
class,0.0
while,0.0
boys,0.0
start,0.0
then,0.0
the_girl,0.0
ever,0.0
flat,0.0
something,0.0
grade,0.0
my_mother,0.0
another,0.0
say,0.0
things,0.0
bully,0.0
rakesh,0.0
disease,0.0
